Marker.Name,Alternate1,Alternate2,Alternate3,Alternate4,Alternate5,Alternate6,Alternate7,Alternate8,Alternate9,Alternate10
IL27,IL27,IL-27,Il27,IL.27,,,,,,
IL33,IL33,IL-33,Il33,,,,,,,
IL35,IL35,IL-35,Il35,EBI3,IL.35,,,,,
IL4,IL4,Interleukin-4,Il4,,,,,,,
IL5,IL5,Interleukin-5,Il5,,,,,,,
IL6,IL6,Interleukin-6,Il6,,,,,,,
IL7,IL7,Interleukin-7,Il7,,,,,,,
IL7RA,IL7RA,IL7Ralpha,Il7Ra,CD127,,,,,,
IL9,IL9,Interleukin-9,Il9,,,,,,,
IntegrinB7,IntegrinB7,Integrin-b7,Integrinb7,,,,,,,
IRF4,IRF4,IRF.4,Irf4,IRF-4,,,,,,
Ki67,Ki67,Ki_67,Ki67,,,,,,,
KLRG1,KLRG1,Klrg1,,,,,,,,
LAG3,LAG3,LAG-3,Lag3,,,,,,,
LAP,LAP,latent.TGF-beta,Lap,,,,,,,
Livedead,Livedead,fixable,Livedead,Viability,viable,viablity,live-dead,,,
LYVE1,LYVE1,Lyve1,,,,,,,,
mCherry,mCherry,mCherry,Mcherry,,,,,,,
MerTK,MerTK,MertK,Mertk,,,,,,,
NFIL3,NFIL3,E4BP4,Nfil3,,,,,,,
NKp46,NKp46,NK.p46,Nkp46,NKp46 (CD335),CD335,NK-p46,,,,
Nur77,Nur77,,,,,,,,,
O4,O4,,,,,,,,,
P2RY12,P2RY12,P2Ry12,P2RY12 (P2Ry12),,,,,,,
P2XR7,P2XR7,P2RX7,P2Xr7,,,,,,,
PAX5,PAX5,Pax5,PAX5 (Pax5),,,,,,,
PD1,PD1,CD279,Pd1,PD1 (CD279),PD.1,PD_1,,,,
PDL1,B7-H1,PDL1,CD274,Pdl1,PD-L1,PD_L1,,,,
PDL2,B7-DC,PDL2,CD273,Pdl2,PD-L2,PD_L2,,,,
Perforin,Perforin,Perf,Perforin,,,,,,,
pSTAT3,pSTAT3,pSTAT3,Pstat3,,,,,,,
pSTAT5,pSTAT5,pSTAT5,Pstat5,,,,,,,
RFP,RFP,tdT,Rfp,Red Fluorescent Protein,dsRed,ROSA-RFP,,,,
RORgT,RORgT,RORgamma,Rorgt,RORc,ROR-gamma,ROR-g,,,,
S1P1,S1P1,S1P1R,S1P1,,,,,,,
Siglec8,Siglec8,,,,,,,,,
ST2,ST2,IL-33R,St2,IL33R,,,,,,
Stabilin2,Stabilin2,STAB2,Stabilin2,,,,,,,
Tbet,Tbet,T.bet,T-bet,,,,,,,
TCF1,TCF1,TCF1/7,Tcf1,TCF7,TCF1 (TCF7),,,,,
TCR Va24-Ja18,TCR Va24-Ja18,TCR.Va24_Ja18,Tcr Va24-Ja18,TCR Va24,TCR Va24_Ja18,,,,,
TCR Va7.2,TCR Va7.2,TCR.Va7.2,Tcr Va7.2,TCR Valpha7.2,TCR 7.2,,,,,
TCR Vb11,TCR Vb11,TCR-Vb11,Tcr Vb11,,,,,,,
TCR Vd2,TCR Vd2,TCRVdelta2,Tcr Vd2,,,,,,,
TCR Vg9,TCR Vg9,TCRVgamma9,Tcr Vg9,,,,,,,
TCRab,TCRab,TCRalpha/beta,Tcrab,TCR-ab,TCR-alpha,TCR alpha/beta,TCR a/b,,,
TCRbeta,TCRbeta,TCR-beta,Tcrbeta,TCR-b,TCR-beta,,,,,
TCRg,TCRg,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRgd,TCR gd,
TER119,TER119,TER-119,Ter119,TER_119,TER.119,,,,,
TGFbeta,TGFbeta,TGF-beta,Tgfbeta,TGF,,,,,,
TIGIT,TIGIT,TIGIT,Tigit,,,,,,,
TIM3,TIM3,TIM-3,TIM.3,Tim3,,,,,,
TNF,TNF,TNF.alpha,Tnf,TNFa,TNF-a,TNF-alpha,TNF.alpha,TNF_alpha,TNF_a,TNF.a
TREM2,TREM2,TREM2,Trem2,,,,,,,
XCR1,XCR1,XCR1,Xcr1,,,,,,,
YFP,YFP,Yellow Fluorescent Protein,Yfp,,,,,,,
ZAP70,ZAP70,ZAP-70,Zap70,Zap.70,ZAP_70,,,,,
